,PID,RA,DEC,EPOC,SUBREGION,NAME,"ATLAS
+GALEX",SDSS,"ATLAS
+ST.LOCUS",Comments
92,STRIPE82,304.725,-0.7,2000,STRIPE82,STRIPE82-0093,1.0,0.0,,ATLAS_GALEX partially covered (but with 1297 reference stars) 
93,STRIPE82,304.725,0.7,2000,STRIPE82,STRIPE82-0094,1.0,0.0,,Stellar locus bad for red narrow bands; r_auto - r_aper with high scatter; ATLAS_GALEX partially covered (but with 1917 reference stars) 
94,STRIPE82,306.142,-0.7,2000,STRIPE82,STRIPE82-0095,1.0,0.0,,
95,STRIPE82,306.142,0.7,2000,STRIPE82,STRIPE82-0096,-1.0,0.0,,
96,STRIPE82,307.558,-0.7,2000,STRIPE82,STRIPE82-0097,1.0,0.0,,ATLAS_GALEX partially covered (but with 1243 reference stars) 
97,STRIPE82,307.558,0.7,2000,STRIPE82,STRIPE82-0098,1.0,0.0,,ATLAS_GALEX partially covered (but with 1376 reference stars) 
98,STRIPE82,308.975,-0.7,2000,STRIPE82,STRIPE82-0099,1.0,0.0,,ATLAS_GALEX partially covered (but with 1888 reference stars) 
99,STRIPE82,308.975,0.7,2000,STRIPE82,STRIPE82-0100,-1.0,0.0,,
100,STRIPE82,310.392,-0.7,2000,STRIPE82,STRIPE82-0101,1.0,0.0,,ATLAS_GALEX partially covered (but with 2041 reference stars) 
101,STRIPE82,310.392,0.7,2000,STRIPE82,STRIPE82-0102,1.0,0.0,,
102,STRIPE82,311.813,-0.7,2000,STRIPE82,STRIPE82-0103,1.0,0.0,,
103,STRIPE82,311.813,0.7,2000,STRIPE82,STRIPE82-0104,1.0,0.0,,ATLAS_GALEX partially covered (but with 2008 reference stars) 
104,STRIPE82,313.22900000000004,-0.7,2000,STRIPE82,STRIPE82-0105,1.0,0.0,,Large scatter in FWHM_n and r_auto-r_aper
105,STRIPE82,313.22900000000004,0.7,2000,STRIPE82,STRIPE82-0106,1.0,0.0,,
106,STRIPE82,314.64599999999996,-0.7,2000,STRIPE82,STRIPE82-0107,1.0,0.0,,ATLAS_GALEX partially covered (but with 1728 reference stars) 
107,STRIPE82,314.64599999999996,0.7,2000,STRIPE82,STRIPE82-0108,1.0,0.0,,
108,STRIPE82,316.063,-0.7,2000,STRIPE82,STRIPE82-0109,-1.0,0.0,,
109,STRIPE82,316.063,0.7,2000,STRIPE82,STRIPE82-0110,1.0,0.0,,slightly bad class_star; ATLAS_GALEX partially covered (but with 2140 reference stars) 
110,STRIPE82,317.47900000000004,-0.7,2000,STRIPE82,STRIPE82-0111,-1.0,0.0,,
111,STRIPE82,317.47900000000004,0.7,2000,STRIPE82,STRIPE82-0112,-1.0,0.0,,
112,STRIPE82,318.89599999999996,-0.7,2000,STRIPE82,STRIPE82-0113,1.0,0.0,,
113,STRIPE82,318.89599999999996,0.7,2000,STRIPE82,STRIPE82-0114,1.0,0.0,,ATLAS_GALEX partially covered (but with 1142 reference stars) 
114,STRIPE82,320.317,-0.7,2000,STRIPE82,STRIPE82-0115,1.0,0.0,,
115,STRIPE82,320.317,0.7,2000,STRIPE82,STRIPE82-0116,-1.0,0.0,,
116,STRIPE82,321.733,-0.7,2000,STRIPE82,STRIPE82-0117,1.0,0.0,,
117,STRIPE82,321.733,0.7,2000,STRIPE82,STRIPE82-0118,1.0,0.0,,"ATLAS_GALEX partially covered, half CCD (but with 1079 reference stars) "
118,STRIPE82,323.15,-0.7,2000,STRIPE82,STRIPE82-0119,1.0,0.0,,
119,STRIPE82,323.15,0.7,2000,STRIPE82,STRIPE82-0120,1.0,0.0,,slightly bad class star
120,STRIPE82,324.567,-0.7,2000,STRIPE82,STRIPE82-0121,-1.0,0.0,,
121,STRIPE82,324.567,0.7,2000,STRIPE82,STRIPE82-0122,1.0,0.0,,
122,STRIPE82,325.983,-0.7,2000,STRIPE82,STRIPE82-0123,1.0,0.0,,
123,STRIPE82,325.983,0.7,2000,STRIPE82,STRIPE82-0124,1.0,0.0,,large scatter in r_auto - r_aper
124,STRIPE82,327.4,-0.7,2000,STRIPE82,STRIPE82-0125,1.0,0.0,,
125,STRIPE82,327.4,0.7,2000,STRIPE82,STRIPE82-0126,1.0,0.0,,
126,STRIPE82,328.82099999999997,-0.7,2000,STRIPE82,STRIPE82-0127,1.0,0.0,,
127,STRIPE82,328.82099999999997,0.7,2000,STRIPE82,STRIPE82-0128,1.0,0.0,,
128,STRIPE82,330.23800000000006,-0.7,2000,STRIPE82,STRIPE82-0129,1.0,0.0,,
129,STRIPE82,330.23800000000006,0.7,2000,STRIPE82,STRIPE82-0130,1.0,0.0,,
130,STRIPE82,331.654,-0.7,2000,STRIPE82,STRIPE82-0131,1.0,0.0,,bad class_star; field has a very bright star in the middle
131,STRIPE82,331.654,0.7,2000,STRIPE82,STRIPE82-0132,1.0,0.0,,
132,STRIPE82,333.07099999999997,-0.7,2000,STRIPE82,STRIPE82-0133,1.0,0.0,,
133,STRIPE82,333.07099999999997,0.7,2000,STRIPE82,STRIPE82-0134,1.0,0.0,,
134,STRIPE82,334.48800000000006,-0.7,2000,STRIPE82,STRIPE82-0135,-1.0,0.0,,
135,STRIPE82,334.48800000000006,0.7,2000,STRIPE82,STRIPE82-0136,1.0,0.0,,"ATLAS_GALEX partially covered, half CCD (620 reference stars) "
136,STRIPE82,335.904,-0.7,2000,STRIPE82,STRIPE82-0137,-1.0,0.0,,
137,STRIPE82,335.904,0.7,2000,STRIPE82,STRIPE82-0138,-1.0,0.0,,
138,STRIPE82,337.32099999999997,-0.7,2000,STRIPE82,STRIPE82-0139,-1.0,0.0,,
139,STRIPE82,337.32099999999997,0.7,2000,STRIPE82,STRIPE82-0140,-1.0,0.0,,
140,STRIPE82,338.74199999999996,-0.7,2000,STRIPE82,STRIPE82-0141,-1.0,0.0,,
141,STRIPE82,338.74199999999996,0.7,2000,STRIPE82,STRIPE82-0142,-1.0,0.0,,
142,STRIPE82,340.158,-0.7,2000,STRIPE82,STRIPE82-0143,1.0,0.0,,"ATLAS_GALEX partially covered, (450 reference stars) "
143,STRIPE82,340.158,0.7,2000,STRIPE82,STRIPE82-0144,-1.0,0.0,,
144,STRIPE82,341.575,-0.7,2000,STRIPE82,STRIPE82-0145,1.0,0.0,,
145,STRIPE82,341.575,0.7,2000,STRIPE82,STRIPE82-0146,1.0,0.0,,slightly bad FWHM_n and r_auto-r_aper
146,STRIPE82,342.99199999999996,-0.7,2000,STRIPE82,STRIPE82-0147,1.0,0.0,,
147,STRIPE82,342.99199999999996,0.7,2000,STRIPE82,STRIPE82-0148,1.0,0.0,,
148,STRIPE82,344.408,-0.7,2000,STRIPE82,STRIPE82-0149,1.0,0.0,,
149,STRIPE82,344.408,0.7,2000,STRIPE82,STRIPE82-0150,1.0,0.0,,
150,STRIPE82,345.825,-0.7,2000,STRIPE82,STRIPE82-0151,1.0,0.0,,
151,STRIPE82,345.825,0.7,2000,STRIPE82,STRIPE82-0152,1.0,0.0,,
152,STRIPE82,347.246,-0.7,2000,STRIPE82,STRIPE82-0153,1.0,0.0,,
153,STRIPE82,347.246,0.7,2000,STRIPE82,STRIPE82-0154,1.0,0.0,,
154,STRIPE82,348.663,-0.7,2000,STRIPE82,STRIPE82-0155,1.0,0.0,,
155,STRIPE82,348.663,0.7,2000,STRIPE82,STRIPE82-0156,1.0,0.0,,
156,STRIPE82,350.079,-0.7,2000,STRIPE82,STRIPE82-0157,1.0,0.0,,Slightly bad class_star
157,STRIPE82,350.079,0.7,2000,STRIPE82,STRIPE82-0158,1.0,0.0,,Slightly bad class_star
158,STRIPE82,351.496,-0.7,2000,STRIPE82,STRIPE82-0159,-1.0,0.0,,
159,STRIPE82,351.496,0.7,2000,STRIPE82,STRIPE82-0160,1.0,0.0,,"bad class_star; ATLAS_GALEX partially covered, (451 reference stars) "
160,STRIPE82,352.913,-0.7,2000,STRIPE82,STRIPE82-0161,1.0,0.0,,"slightly bad FWHM_n and r_auto-r_aper;  ATLAS_GALEX partially covered, (359 reference stars) "
